"id","country","district","gender","trial","item_A","item_B","item_C","best_overall","worst_overall","best_taste","worst_taste","best_color","worst_color","best_describe","worst_describe","community","age","geno_test","region"
"003","Uganda","Gulu","Woman","community","Naspot 10","Naspot 12","Naspot 13","B","A","C","B","B","C","It has high dry matter content","not too sweet",NA,NA,NA,NA
"007","Uganda","Gulu","Woman","community","Kakamega","Naspot 8","Naspot 13","B","A","B","C","C","B","nice, sweet","sweet",NA,NA,NA,NA
"010","Uganda","Gulu","Man","community","Naspot 13","Naspot 10","Kakamega","A","C","A","C","B","A","sweet","wet",NA,NA,NA,NA
"011","Uganda","Gulu","Man","community","Naspot 12","Naspot 10","Naspot 13","A","B","A","B","C","A","very sweet and nice","it is wet and not sweet",NA,NA,NA,NA
"013","Uganda","Gulu","Man","community","Ejumula","Naspot 13","Naspot 12","A","B","A","B","C","A","it is sweet, moderately hard",NA,NA,NA,NA,NA
"025","Uganda","Gulu","Woman","community","Kakamega","Naspot 12","Naspot 10","A","C","A","C","A","C","It is good and dry","It has a bad smell",NA,NA,NA,NA
"028","Uganda","Gulu","Man","community","Naspot 13","Kakamega","Naspot 10","B","A","B","A","C","B","good smell and sweet","nt nice",NA,NA,NA,NA
"029","Uganda","Gulu","Woman","community","Naspot 12","Ejumula","Naspot 8","B","A","B","A","C","B","sweetness and soft","not sweet",NA,NA,NA,NA
"040","Uganda","Gulu","Woman","community","Naspot 10","Naspot 13","Kakamega","C","B","C","B","A","C","sweet and moderately hard","not swet and wet",NA,NA,NA,NA
"041","Uganda","Gulu","Woman","community","Kakamega","Ejumula","Naspot 10","B","C","B","C","B","A","very good and sweet","It is sweet but so soft",NA,NA,NA,NA
"043","Uganda","Gulu","Woman","community","Naspot 10","Ejumula","Kakamega","B","C","B","C","B","A","sweet and nice","bad smell",NA,NA,NA,NA
"048","Uganda","Gulu","Woman","community","Naspot 8","Naspot 10","Kakamega","C","B","C","B","A","C","Its sweet and palatable","It's  fibrous and watery",NA,NA,NA,NA
"055","Uganda","Gulu","Woman","community","Ejumula","Naspot 13","Kakamega","C","A","C","A","C","B","Has high dry matter contebt","It has a bad sme;;",NA,NA,NA,NA
"056","Uganda","Gulu","Woman","community","Kakamega","Naspot 10","Naspot 8","C","B","C","B","C","A","very good and nice","so soft and has some smell",NA,NA,NA,NA
"057","Uganda","Gulu","Woman","community","Ejumula","Kakamega","Naspot 12","A","C","A","C","A","B","so sweet and good","bad taste and has some smell",NA,NA,NA,NA
"001","Uganda","Gulu","Man","community","Naspot 10","Ejumula","Naspot 8","B","C","B","C","A","B","Sweet, crunchy and suitable for breakfast with simisim paste for tea","sweet, soft, with fibres",NA,NA,NA,NA
"002","Uganda","Gulu","Woman","community","Naspot 12","Naspot 13","Ejumula","C","B","C","B","A","C","Sweet","Watery",NA,NA,NA,NA
"004","Uganda","Gulu","Woman","community","Naspot 8","Ejumula","Naspot 12","B","A","B","A","C","B","Good smell and sweet","Wet",NA,NA,NA,NA
"005","Uganda","Gulu","Woman","community","Kakamega","Naspot 8","Naspot 12","B","C","B","C","A","B","Nice","Nice and sweet",NA,NA,NA,NA
