"","Estimate","Std. Error","z value","Pr(>|z|)","."
"Apomuden","0",NA,NA,"NA ","fg"
"CIP442162","0.5038","0.1838","2.7409","0.006128 **","bc"
"Ligri","0.2052","0.1436","1.4294","0.152895  ","cdef"
"Nan","0.6506","0.1455","4.4723","7.739e-06 ***","b"
"Obare","0.6717","0.1468","4.5773","4.710e-06 ***","b"
"PG17140-N2","-0.4744","0.1943","-2.4413","0.014636 *","i"
"PG17206-N5","0.0752","0.1814","0.4144","0.678573  ","efg"
"PG17265-N1","0.2017","0.1793","1.1249","0.260646  ","cdefg"
"PG17305-N1","0.4655","0.1811","2.5709","0.010145 *","bcd"
"PG173136-N1","1.1114","0.189","5.882","4.055e-09 ***","a"
"PG17362-N1","0.3092","0.1824","1.695","0.090066 .","cde"
"PG17412-N2","-0.1411","0.1816","-0.7771","0.437127  ","ghi"
"PGA14011-24","0.0397","0.1852","0.2141","0.830486  ","efg"
"PGN16021-39","0.122","0.1803","0.6767","0.498614  ","defg"
"PGN16024-27","-0.0341","0.1803","-0.1892","0.849925  ","efgh"
"PGN16024-28","0.1045","0.1819","0.5745","0.565624  ","efg"
"PGN16030-30","-0.3781","0.1894","-1.9964","0.045887 *","hi"
"PGN16092-6","0.0659","0.1821","0.362","0.717354  ","efg"
"PGN16130-4","0.0514","0.1807","0.2847","0.775839  ","efg"
"PGN16203-18","-0.0188","0.1829","-0.1026","0.918273  ","efgh"
"Tu-Purple (Diedi)","-0.036","0.143","-0.2519","0.801136  ","g"
